Year Reported to CDP,Account Number,Organization,City,Country,CDP Region,Reporting Authority,Access,Type of target,Sector,Target Start Year,Baseline year,Baseline emissions (metric tonnes CO2e),Percentage reduction target,Target date,Estimated business as usual absolute emissions in target year (metric tonnes CO2e),Base year emissions per intensity unit (metric tonnes CO2e per denominator),​Intensity unit (emissions per),Percentage of target achieved so far,Comment,Population,Population Year,City Location,Last update,Water 2014 - Number of drivers
2018,31168,City District Government Karachi,Karachi,Pakistan,South and West Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,25000000,2014,"(24.9108, 67.1281)",2019-06-06T13:19:47.747,
2018,826407,Munícipio de Mirandela,Mirandela,Portugal,Europe,CDP Cities,public,,,,,,,,,,,,,11852,2011,"(41.51, -7.1753)",2019-06-06T13:19:47.747,63
2018,31184,Prefeitura de São Paulo,São Paulo,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,,2009,2003,15115,30,2012,,,,,"Ainda não foi feito o inventário para 2012. Todavia, provavelmente a meta não foi alcançada.",11253.503,2017,"(-23.5595, -46.7382)",2019-06-06T13:19:47.747,
2018,58868,Regional Municipality of Durham,Durham,Canada,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2010,2020,3880,20,2020,,,,0,,673070,2017,"(43.9368, -78.9288)",2019-06-06T13:19:47.747,42
2018,31175,City of Paris,Paris,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Stationary energy (buildings),2018,2004,4928113,30,2020,,,,39,The percentage of target achieved so far is calculated on 2014 data,2265886,2015,"(48.8566, 2.35222)",2019-06-06T13:19:47.747,44
2018,59298,City of Yaoundé 6,Yaoundé 6,Cameroon,Africa,CDP Cities,public,,,,,,,,,,,,,324734,2010,"(3.86181, 11.5191)",2019-06-06T13:19:47.747,
2018,54706,Prefeitura Municipal de Boa Vista,Boa Vista,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,326414,2016,"(2.83067, -60.6779)",2019-06-06T13:19:47.747,176
2018,58671,Helsingør Kommune / Elsinore Municipality,Helsingør,Denmark,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,2010,2008,415000,85,2030,,,,43,Maximum 1 ton CO2eq per citizen by 2030. That is a percentage reduction target of around 85 %.,62686,2017,"(56.0308, 12.5921)",2019-06-06T13:19:47.747,
2018,64014,City of Cupertino,Cupertino,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2010,307288,83,2050,,,,,,60777,2017,"(37.323, -122.032)",2019-06-06T13:19:47.747,
2018,60399,Municipalidad de Miraflores,Miraflores,Peru,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,85065,2007,"(-16.3994, -71.5366)",2019-06-06T13:19:47.747,
2018,44185,Suwon City,Suwon,Republic of Korea,East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2012,2005,5850754.412,40,2030,,,,10,"As a result of the greenhouse gas inventory construction in 2015, total emissions decreased by 4.1% and per capita emissions by 17.2% compared with 2005.",1240480,2017,"(37.17, 126.805)",2019-06-06T13:19:47.747,
2018,69968,Alcaldia de Rionegro,Rionegro,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No target,,,,,,,,,,,,133000,2017,"(6.15316, -75.3739)",2019-06-06T13:19:47.747,146
2018,36254,Comune di Venezia,Venezia,Italy,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Transportation,2012,2005,381340,39.2,2020,,,,0,reduction of emissions due to fuel consumption of private and commercial vehicles,261905,2016,"(45.4333, 12.3211)",2019-06-06T13:19:47.747,
2018,826207,Junta Intermunicipal de Medio Ambiente Region Valles (JIMAV),JIMAV,Mexico,Latin America,CDP Cities,public,No target,,,,,,,,,,,,371457,2015,"(19.7682, -104.367)",2019-06-06T13:19:47.747,
2018,35857,City of Cincinnati,Cincinnati,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2006,9300000,40,2030,,,,18.4,,298800,2016,"(39.1031, -84.512)",2019-06-06T13:19:47.747,46
2018,54119,City of Palo Alto,Palo Alto,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2016,1990,765920,80,2030,,,,53.75,,66649,2017,"(37.4419, -122.143)",2019-06-06T13:19:47.747,
2018,50154,City of Turku,Turku,Finland,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability, Union of the Baltic Cities",public,Absolute target,,,,,,,,,,,,190000,2017,"(60.4518, 22.2666)",2019-06-06T13:19:47.747,
2018,31175,City of Paris,Paris,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Waste,2018,2004,515794,50,2030,,,,26,The percentage of target achieved so far is calculated on 2014 data,2265886,2015,"(48.8566, 2.35222)",2019-06-06T13:19:47.747,44
2018,36274,Comune di Bologna,Bologna,Italy,Europe,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Transportation,2012,2005,497998,28,2020,,,,52.75,,389.261,2017,"(44.4938, 11.3387)",2019-06-06T13:19:47.747,
2018,50562,City of Chula Vista,Chula Vista,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2005,2005,1339993,15,2020,,,,45,Since our baseline we have had a population increase of 20%,265070,2016,"(32.64, -117.084)",2019-06-06T13:19:47.747,
2018,36159,City of Lisbon,Lisbon,Portugal,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2002,2002,3757705,60,2030,,,,42,,547733,2011,"(38.7223, -9.13933)",2019-06-06T13:19:47.747,80
2018,60254,Prefeitura de Bonito,Bonito,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,21487,2010,"(-21.1254, -56.4894)",2019-06-06T13:19:47.747,213
2018,49359,City of Harare,Harare,Zimbabwe,Africa,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,2424420,2017,"(-17.8284, 30.9328)",2019-06-06T13:19:47.747,206
2018,61753,Yilan County Government,Yilan County,"Taiwan, Greater China",East Asia,CDP Cities,public,No target,,,,,,,,,,,,456607,2017,"(24.7309, 121.763)",2019-06-06T13:19:47.747,
2018,49327,City of Providence,Providence,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2010,2652837,100,2050,,,,,,178562,2014,"(41.824, -71.4128)",2019-06-06T13:19:47.747,
2018,60374,Alcaldía de Ibagué,Ibagué,Colombia,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,564077,2017,"(4.44851, -75.24)",2019-06-06T13:19:47.747,146
2018,54389,Taichung City Government,Taichung,"Taiwan, Greater China",East Asia,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Business as usual target,Total city-wide emissions,2015,2015,22898984,7,2022,26890906,,,34.9,Th bau target,2792164,2017,"(24.1619, 120.647)",2019-06-06T13:19:47.747,
2018,36254,Comune di Venezia,Venezia,Italy,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2012,2005,1175959,25,2020,,,,79.9,"the goal is to reduce energy consumption and consequently emissions for the commercial / tertiary, residential and transport sectors",261905,2016,"(45.4333, 12.3211)",2019-06-06T13:19:47.747,
2018,36522,Comune di Verbania,Verbania,Italy,Europe,CDP Cities,public,Business as usual target,,,,,,,,,,,,30900,2017,"(45.9283, 8.55537)",2019-06-06T13:19:47.747,50
2018,60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,CDP Cities,public,Absolute target,,,,,,,,,,,,275207,2015,"(9.30457, -75.3906)",2019-06-06T13:19:47.747,146
2018,74594,City of Boynton Beach,Boynton Beach,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,73992,2017,"(26.4986, -80.216)",2019-06-06T13:19:47.747,
2018,35268,City of Boston,Boston,United States of America,North America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2005,7653810,50,2030,,,,41,"This percent reduction is a tentative estimate, pending final inventory update and release later in 2018.",672840,2016,"(42.3584, -71.0598)",2019-06-06T13:19:47.747,
2018,55801,City of West Palm Beach,West Palm Beach,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2013,2013,1484767,25,2025,,,,0,"We will be doing our next community-wide inventory in 2019 with Kim Lundgren and Associates, reporting on the 2018 calendar year.",108161,2017,"(26.7153, -80.0534)",2019-06-06T13:19:47.747,
2018,58569,City of Podgorica,Podgorica,Montenegro,Europe,CDP Cities,public,Absolute target,Transportation,2011,2008,299,20,2020,,,,28.43,"In the transport sector, the implementation of certain measures led to a reduction emissions compared with the based year. The City plans to improve public transport in the upcoming period, it is to expect a positive trend in this field.",185937,2011,"(42.4304, 19.2594)",2019-06-06T13:19:47.747,65
2018,63941,"Broward County, FL",Broward,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2014,2010,22177409,80,2050,,,,0,"2014 Total: 25,207,287.Will update with 2017 total when available.",1870000,2014,"(26.1901, 80.3659)",2019-06-06T13:19:47.747,107
2018,63616,Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,Middle East,"CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Stationary energy (buildings),,2010,18320,19,2020,,,,,,32000,2017,"(31.3231, 34.344)",2019-06-06T13:19:47.747,
2018,60898,Ayuntamiento de Naucalpan de Juárez,Naucalpan de Juárez,Mexico,Latin America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Intensity target,,,,0,0,,,,,0,,,0,"(19.4631, -99.2453)",2019-06-06T13:19:47.747,117
2018,35449,Stadt Zürich,Zürich,Switzerland,Europe,CDP Cities,public,Absolute target,Total city-wide emissions,,2005,,82,2050,,,,,,423310,2017,"(47.3686, 8.53918)",2019-06-06T13:19:47.747,38
2018,59180,Middelfart Kommune,Middelfart,Denmark,Europe,CDP Cities,public,Absolute target,Stationary energy (buildings),,2010,70365,,2025,,,,,,38093,2017,"(55.471, 9.87264)",2019-06-06T13:19:47.747,
2018,49333,"City of Louisville, KY",Louisville,United States of America,North America,CDP Cities,public,Business as usual target,Total city-wide emissions,2016,2016,16000537,80,2050,18766066,,,0,We are just getting started and anticipate that incremental progress will be made year on year with larger reductions to come in a step manner over the next 30 years.,771158,2017,"(38.196, -85.6784)",2019-06-06T13:19:47.747,46
2018,35877,City of Pittsburgh,Pittsburgh,United States of America,North America,CDP Cities,public,Absolute target,Transportation,,2003,,50,2030,,,,,,305704,2016,"(40.4406, -79.9959)",2019-06-06T13:19:47.747,46
2018,53921,"City of Tempe, AZ",Tempe,United States of America,North America,CDP Cities,public,No target,,,,,,,,,,,,175826,2015,"(33.4255, -111.94)",2019-06-06T13:19:47.747,59
2018,54298,Dalian Municipal People's Government,Dalian,China,East Asia,"CDP Cities, C40",public,,,,,,,,,,,,,,0,"(38.9389, 121.567)",2019-06-06T13:19:47.747,
2018,42178,Distrito Metropolitano de Quito,Quito,Ecuador,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Business as usual target,Industrial buildings,,2015,635118,,,1119098,,,,,2239191,2010,"(-0.2333, -78.5167)",2019-06-06T13:19:47.747,
2018,54113,City of Flagstaff,Flagstaff,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,No target,,,,,,,,,,,,71975,2017,"(35.1992, -111.631)",2019-06-06T13:19:47.747,59
2018,31172,Mexico City,Mexico City,Mexico,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,2012,2012,30731000,4.3,2020,,,,60,"The target established for the current México City's Action Program is to avoid the emission of 10 million of metric tonnes CO2e, not to a target according to a baseline year, it's base in the projects developed.",8833416,2016,"(19.4326, -99.1332)",2019-06-06T13:19:47.747,117
2018,50392,Prefeitura de Vitória,Vitória,Brazil,Latin America,CDP Cities,public,No target,,,,,,,,,,,,363140,2017,"(-20.3338, -40.3776)",2019-06-06T13:19:47.747,
2018,73706,City of Alameda,Alameda,United States of America,North America,CDP Cities,public,Absolute target,Total city-wide emissions,2008,2005,367294,25,2020,,,,14,Expected 16 percent reduction by 2020.,75961,2017,"(37.4522, 122.163)",2019-06-06T13:19:47.747,
2018,31176,Prefeitura do Rio de Janeiro,Rio de Janeiro,Brazil,Latin America,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Total city-wide emissions,,2005,11402180,20,2020,,,,,"Target established in the municipal law that created the ""Municipal Climate Change and Sustainable Development Policy"" (5428/2011).",6520266,2017,"(-22.9054, -43.5614)",2019-06-06T13:19:47.747,
2018,54337,Greater Amman Municipality,Amman,Jordan,Middle East,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,No target,,,,,,,,,,,,3800000,2017,"(31.9454, 35.9284)",2019-06-06T13:19:47.747,
2018,31175,City of Paris,Paris,France,Europe,"C40, CDP Cities, ICLEI - Local Governments for Sustainability, WWF",public,Absolute target,Transportation,2018,2004,815522,100,2050,,,,15,The percentage of target achieved so far is calculated on 2014 data,2265886,2015,"(48.8566, 2.35222)",2019-06-06T13:19:47.747,44
2018,31186,Changwon City,Changwon,Republic of Korea,East Asia,"C40, CDP Cities, ICLEI - Local Governments for Sustainability",public,Business as usual target,Total city-wide emissions,2005,2005,7677960.2,30,2020,10377078.4,,,30.67,"Total CO2 emission is the year of 2015, so we calculate percentage of target achieved that of 2015 based on the year of 2005.",1072657,2017,"(35.1542, 126.949)",2019-06-06T13:19:47.747,
2018,58609,City of Ærøskøbing,Ærøskøbing,Denmark,Europe,CDP Cities,public,Absolute target,,,2015,,10,,,,,,,6180,2017,"(54.8914, 10.4047)",2019-06-06T13:19:47.747,
2018,69995,Kemi,Kemi,Finland,Europe,"CDP Cities, Union of the Baltic Cities",public,No target,,,,,,,,,,,,,0,"(65.7364, 24.5637)",2019-06-06T13:19:47.747,7
2018,53254,City of Hobart,Hobart,Australia,Southeast Asia and Oceania,CDP Cities,public,No target,,,,,,,,,,,,50440,2016,"(-42.8901, 147.281)",2019-06-06T13:19:47.747,
2018,54092,City of Ann Arbor,Ann Arbor,United States of America,North America,"CDP Cities, ICLEI - Local Governments for Sustainability",public,Absolute target,Total city-wide emissions,,2000,1681926,25,2025,,,,,,1177700,2017,"(42.2808, -83.743)",2019-06-06T13:19:47.747,42
