State or region,Country,Region,Access,Years disclosed,Population,Population year,Accounting year,Boundary,Inventory externally verified?,Primary protocol/methodology,Comment on protocol/methodology,Gases included: CO2,Gases included: CH4,Gases included: N2O,Gases included: HFCs,Gases included: PFCs,Gases included: SF6,Gases included:NF3,Reported total emissions,Location,Water 2014 - Number of drivers
Queensland,Australia ,Asia Pacific,Public,2017,4808771,2015,2015,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Queensland has used the Australian Government's National Inventory Report 2015, submitted under the United Nations Framework Convention on Climate Change (UNFCCC) and the Kyoto Protocol (KP). The Report has been compiled using methods which conform to the international guidelines prepared by the Intergovernmental Panel on Climate Change (IPCC) and adopted by the UNFCCC â€“ the 2006 IPCC Guidelines for National Greenhouse Gas Inventories (IPCC 2006) and the 2013 Revised Supplementary Methods and Good Practice Guidance Arising from the Kyoto Protocol (IPCC 2014). The methodologies used to estimate Australia's inventory have been improved over time and will continue to be refined as new information emerges, and as international practice evolves. In addition to this Report, the Department of the Environment and Energy publishes State and Territory Greenhouse Gas Inventories which has been used.  ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),152116690,"(-20.991, 142.7028)",
New York State,USA,North America,Public,2016 and 2017,19746227,2014,2014,Geopolitical Boundary,No,"U.S. EPA Greenhouse Gas Reporting Program (includes US EPA SIT, FLIGHT tool...)","NYS used the EPA SIT as a framework, but updated to 2014 (last available SIT year was 2013). Alternative input data were used for fuel combustion and solid waste",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,217730000,"(42.6591, -73.756232)",57
New South Wales,Australia,Asia Pacific,Public,2017,7480228,2016,2015,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The Commonwealth Department of the Environment and Energy is responsible for reporting greenhouse gas emissions in Australia at both the national and state level. The Department undertakes all aspects of activity data coordination, emissions estimation, quality control, preparation of reports and their submission to the UNFCCC on behalf of the Australian Government. The Department publishes Australia's National Greenhouse Accounts, which are made up of a series of reports on greenhouse gas emissions estimates and include state inventory reports.  The National Greenhouse Accounts are produced within a national framework designed to create a nested set of integrated accounts â€” facility-level, company, industry, State and Territory and national. Estimation methodologies are consistent across each of these dimensions to ensure that changes in emissions at each level are captured efficiently and accurately across the accounts. The methodologies for the estimation of emissions are documented in Australia's National Inventory Report. The National Inventory by Economic Sector report provides emissions disaggregated by Australia-New Zealand Standard Industry Classifications (ANZSIC) and includes indirect emissions from the generation of purchased electricity (scope 2 emissions) Australia's greenhouse gas emissions are estimated using the 2006 IPCC Guidelines for National Greenhouse Gas Inventories and the 2013 Revised Supplementary Methods and Good Practice Guidance Arising from the Kyoto Protocol. Emissions factors used are IPCC 2006 defaults or Australian country specific estimates where improved data is available. Emissions for each of the major greenhouse gases are expressed as carbon dioxide equivalents (CO2e) using the 100-year global warming potentials (GWPs) contained in the 2007 IPCC Fourth Assessment Report (IPCC 2007).  Australia's emissions inventory is developed in accordance with an Inventory Improvement Plan, which aims to incorporate the latest science on emission processes and improved activity data as it becomes available.  Activity data and country specific emissions factors used to prepare the emissions inventory is taken where possible from the data collected under the National Greenhouse and Energy Reporting (NGER) system. NGER is a legislative framework for the mandatory reporting of emissions, energy use and production by companies who exceed certain thresholds. NGER spans the energy, industrial processes and product use and waste sectors.  The remaining data is taken from other agencies, particularly Australia's principal economic statistics agencies; the Australian Bureau of Statistics and the Department of Industry, Innovation and Science. The ABS is the national statistical agency with legislative backing for its collection powers. The ABS, in conjunction with ABARES, is the major source of agricultural activity data. Satellite imagery is used to determine land cover change for the LULUCF sector and is sourced from Geosciences Australia (Australia's principal satellite ground station and data processing facility).  Data to support estimates of HFCs are sourced from compulsory reporting by importers under licensing arrangements under the Ozone Protection and Synthetic Greenhouse Gas Management Act 2003. The collection of solid waste data from State and Territory Government agencies is supported by an exchange of letters between Australian and State Government agencies. Electricity and natural gas consumption data are reconciled by comparing data collected under the NGER system with sources such as the Australian Energy Statistics, the Energy Supply Association of Australia and the Australian Energy Market Operator.  Emissions from electricity imported into New South Wales are not included in the state inventory report published by the Commonwealth. They are included in the state and territory scope two emissions from the generation of purchased electricity by economic sector and published separately by the Commonwealth in the report National Inventory by Economic Sector 2015. However, scope two emissions from electricity generation consumed within the electricity, gas and water sector includes own use of electricity by generators and is not necessarily purchased electricity. The NSW electricity region is interconnected with Victoria and Queensland, and includes the ACT. NSW emissions from imported electricity are estimated from the net electricity imports taken from the Australian Energy Market Operator's NEM Historical Market Information Report  and the full fuel cycle emissions from Victoria and Queensland according to the National Greenhouse Accounts Factors 2015 and relative to the net imports from these regions. The Department of the Environment produces the emissions estimates using IT systems called the Australian Greenhouse Emissions Information System (AGEIS) and, for the LULUCF sector, the Full Carbon Accounting Model (FullCAM). The AEGIS fully integrates quality control procedures into inventory preparation processes and centralises emissions estimation, inventory compilation and reporting, and data storage activities. The AGEIS provides high transparency levels for the inventory, with emissions data made publicly accessible through an interactive web interface: http://ageis.climatechange.gov.au/.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),133425930,"(-31.293, 146.9211)",228
Connecticut,USA,North America,Public,2016 and 2017,3576452,2016,2014,"Other: For 2013 inventory and beyond: For electricity sector, Connecticut consumption from New England regional grid. For all other sectors, geopolitical boundary. For 2012 and previous inventory years, geopolitical boundary for all sectors. ",No,"U.S. EPA Greenhouse Gas Reporting Program (includes US EPA SIT, FLIGHT tool...)","The U.S. Environmental Protection Agency's State Inventory Tool (SIT) calculates sector-by-sector GHG emissions based on numerous state-level and national-level data sets (e.g., number of gallons of fuel oil sold in CT), including energy-related data provided by the Energy Information Administration. In its guidance documents on SIT, EPA recommends that states employ their own data when these are likely to be more reliable than the tool's default figures.   The state inventory makes three major departures from the SIT default values. First, for the waste sector, the 2013 and 2014 inventories draw on solid-waste data collected by the Department of Energy and Environmental Protection's municipal waste program. Second, the 2013 and 2014 inventories also apply a consumption-based accounting approach for the electric power sector. In prior GHG inventories, emissions from the electric power sector were based on direct emissions from the generation of electricity by power plants operating within the state. As described in detail below, the new approach is based on the amount of electricity consumed within the state from the New England grid, rather the amount of electricity generated in the state. Third, because SIT data on land use, land use change, and forestry appear unreliable, they have not been included in the inventories of emissions in 2014 or prior years. The state aims to develop an alternative means to estimate GHG impacts of land use and forestry for use in preparing future inventories.  More on accounting for electricity-sector emissions: In GHG inventories prior to 2013, electricity sector emissions were calculated on the basis of GHGs emitted by power plants operating within the state. However, based on emerging best practices among U.S. states that regularly report their GHG emissions, and due to the nature of the New England electric grid, the Governor's Council on Climate Change recommended employing a consumption-based accounting approach: calculation of emissions from electricity consumed in-state, rather than electricity generated in-state. The state adopted this approach for the 2013 and 2014 inventories (and retrospectively applied it to estimate emissions in the period 1990-2012). This approach more accurately reflects significant historical and ongoing change in the mix of fuels used to generate electricity in New England. It also better aligns the inventory with actions Connecticut and other New England states have taken and can take to reduce emissions by promoting energy efficiency within New England and increasing generation of electricity from renewable energy sources in New England through policies such as the Renewable Portfolio Standard. A number of other states, including Massachusetts, Rhode Island, Maryland, and Oregon, have adopted a similar consumption-based approach for the electricity sector. While the consumption-based approach is now the primary method for calculating emissions from the electricity sector, DEEP continues to track and report emissions associated with in-state electric power generation for the purposes of comparison.   The two methods produce electricity-sector estimates that are roughly parallel: emissions were almost identical in 1990 (the baseline year for the GWSA's 2050 goal), peaked in the mid-1990s, and then significantly declined. In conducting the consumption-based inventory, DEEP draws on two data sources: Energy Information Administration data on Connecticut electricity consumption; and regional-grid carbon intensity data developed by the Massachusetts Department of Environmental Protection (MA DEP). MA DEP's data take into account the carbon intensity of electric generation within the ISO New England grid as well as electricity imported into the region from Canada, New York, and other jurisdictions. ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,43757124,"(41.6097, -73.0877)",
Wales,Wales,Europe,Public,2016 and 2017,3099086,2015,2015,Other: Country boundary within the United Kingdom,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Emissions are reported for the seven direct greenhouse gases, Carbon Dioxide, Methane, Nitrous Oxide, Hydrofluorocarbons, Perfluorocarbons, Nitrogen trifluoride and Sulphur hexafluoride. The estimates are expressed in terms of global warming potentials (GWPs) defined on a 100-year horizon (IPCC, 2007). The estimates and the GWPs are consistent with the United Nations Framework Convention on Climate Change (UNFCCC) reporting guidelines and based on the 1990-2015 UK Greenhouse Gas Inventory, which was submitted to the UNFCCC in 2017.  The emissions for the Devolved Administrations of the UK (DA's) are reported on a by-source basis and emissions are accounted for by the source sector in which they are emitted, within each country. As such, emissions associated with imports are accounted for in the country where the production emissions are released. Total emissions from in country electricity production (regardless of the country of consumption) are assigned to Wales. Consistent with international and UK GHG inventory reporting protocol, the DA inventory totals presented exclude emissions from international shipping and aviation; however emissions from these sources are estimated separately. Emissions from offshore oil and gas exploration and production activities are not allocated to any country, and are estimated separately for the UK as a whole. In the compilation of GHG inventories for the DA's, where possible the same methodology has been used to calculate emission estimates as for the UK Inventory. However, the structure of the DA and UK statistical datasets and data collection processes mean that for many emission sources the data available for Devolved Administrations emissions are less detailed than for the UK as a whole, and for some sources DA-level data are not available at all. In particular, complete sets of fuel consumption data (similar to those available for the UK as a whole) are not available for England, Wales, Scotland or Northern Ireland separately. In order to make emission estimates for fuel consumption, the available data has been supplemented with surrogate/proxy statistics which are used to disaggregate UK total consumptions data. Sub-national energy statistics are published annually by the Department for Energy and Climate Change (DECC) within the quarterly Energy Trends publication. These sub-national statistics are limited in their detail when compared to UK-level energy statistics (used in the UK GHG Inventory compilation), but do provide estimated fuel use data for England, Scotland, Wales and Northern Ireland for the following source sectors: â€¢ Industry and Commercial â€¢ Agriculture â€¢ Residential The DECC sub-national energy statistics have been developed in recent years to provide estimates of fuel use and carbon dioxide emissions data at a Local Authority level across the UK. The latest available data include Local Authority solid and liquid fuel use estimates for 2005 to 2014, with gas and electricity data also available up to 2015. The DECC data at local and regional level are derived from analysis of gas and electricity meter point data, supplemented by additional surveys to estimate the distribution of solid fuels and petroleum-based fuels across the UK. Since the initial study and presentation of experimental data for 2003 and 2004, each annual revision to the local and regional data has included data improvements through targeted sector research. These DECC sub-national energy statistics continue to evolve and improve, reducing data inaccuracies, but remain subject to greater uncertainty and less detail than the UK energy statistics presented within Digest of UK Energy Statistics (DUKES) which are used to underpin the UK GHG inventory. Despite the lack of detail and higher uncertainties, they are regarded as the best dataset available to inform the patterns of fuel use across the DAs. These data are used to underpin the carbon dioxide emission estimates from fuel combustion sources within the inventories presented here, in conjunction with other data sources such as EU ETS fuel use data for large industrial sites and other DA-specific energy data. For other significant GHG emission sources there are more reliable and complete country level datasets available including (although some of these are less detailed than data used for the UK Inventory): â€¢ Industrial process emissions are based on plant operator estimates reported to environmental agencies under regulatory systems such as Integrated Pollution Prevention and Control (IPPC). Major sources include cement and lime kilns, iron and steel works, aluminium and other non-ferrous metal plant, chemical industries; â€¢ Agricultural emissions are based on UK emission factors and annual survey data across each of the DAs including estimates of arable production and livestock numbers; â€¢ Land Use, Land Use Change and Forestry (LULUCF) estimates are based on emission factors and regional survey data of land use, modelled to calculate GHG emissions and carbon fluxes between sources and sinks; â€¢ Emissions from waste disposal activities are estimated based on modelled emissions from the UK GHG inventory, split out across the DAs based on local authority waste disposal activity reporting which provides an insight into the local shares of UK activity for recycling, landfilling, incineration and other treatment and disposal options.  The 3% target has been adopted in Wales to reflect areas of devolved competence where the Welsh Government has the direct mandate to act to reduce emissions. Whereas, the 40% target incorporates all emissions in Wales and reflects the contribution that Wales makes to the overall UK commitments under the Climate Change Act 2008. The 3% and 40% targets reflect separate commitments that are based on different baselines and require different methodologies to compile. Performance reporting against the 40% target is drawn directly from the DA-GHGI by-source emissions total for Wales as described above. In addition to the by-source emissions inventory, emissions are also reported as a split traded / non-traded dataset (i.e. split by whether emissions are included in the EUETS). The inventory is also presented as an end-user product in which emissions are re-allocated to the final users of the energy to reflect emissions due to consumption, rather than production within Wales.  The end-user inventory is presented in two products: (i) an all energy supply activity end-user inventory (e.g. power generation, coal mining, oil and gas extraction, refineries), and (ii) an electricity generation only end-user inventory (reallocation of electricity generation emissions only). A UK-wide carbon intensiveness factor has been used to compile the Welsh electricity generation element of the end-user inventory, in recognition that the National Grid is entirely integrated across Great Britain. This approach will also minimise the volatility of the figures resulting from changes in generation (a Welsh specific carbon intensiveness factor would be vulnerable to large fluctuations from changes in the operation of individual power stations).  The 3% target includes all 'direct' greenhouse gas emissions in Wales, except those from the traded sector which are defined as those installations covered by the EUETS. However, because the Welsh Government recognises the importance of reducing electricity consumption in order to reduce emissions, emissions associated with electricity generation will also be included within the 3% target by assigning them to the end-user of the electricity. The three inventory products (By-source/Traded/Non-trade and end-use electricity only) are used to calculate the emissions captured by the 3% target, as outlined in the detailed methodology paper available at: http://gov.wales/topics/environmentcountryside/climatechange/publications/measuring-greenhouse-gas-reduction/?lang=en",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),45698896,"(52.1398, -3.7837)",
Laikipia County,Kenya,Africa,Public,2016,440000,2015,No information disclosed,Geopolitical Boundary,No,Other,Establishing voluntary carbon trade markets in order to promote conservation and compensation for environmental services , ,,,,,,,760000,"(0.39791, 37.1588)",152
Newfoundland and Labrador,Canada,North America,Public,2016 and 2017,530128,2016,2015,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"No additional methodological considerations. Note that the estimates in this section are calculated for each Canadian province by the federal government as a component of its annual UNFCCC reporting obligations, and any verification of these emissions occurs at the federal level. There is no import of electricity into the province.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,10323000,"(53.1396, -57.6604)",
Ontario,Canada,Europe,Public,2016 and 2017,13982984,2016,2014,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"[Please consult the Canadian Government`s Submission to United Nations Framework Convention on Climate Change (UNFCCC) - National Inventory Report (NIR) 1990 -2014: Greenhouse Gas Sources And Sinks In Canada: http://unfccc.int/national_reports/annex_i_ghg_inventories/national_inventories_submissions/items/8812.php] The Ontario Ministry of Environment and Climate Change relies on the federal government's National Inventory Report (NIR), which accounts for greenhouse gas emissions across all provinces and territories. Ontario uses the NIR emissions data as the basis for its own reports on the province's progress on greenhouse gas emission reductions. The National Inventory Report is a robust reflection of overall provincial emissions, is carried out in accordance with international reporting standards and is available to the public. The inventory is structured to match the reporting requirements of the UNFCCC and is divided into the following five main sectors: Energy, Industrial Processes, Agriculture, Land Use Land Use Change and Forestry (LULUCF), and Waste. Each of these sectors is further subdivided within the inventory. The national inventory is prepared in accordance with international reporting guidelines and methodologies agreed to by the UNFCCC, including methodological procedures and guidelines prescribed by the Intergovernmental Panel on Climate Change (IPCC): â€¢ 2006 Intergovernmental Panel on Climate Change Guideline for National Greenhouse Gas Inventories â€¢ Updated Global Warming Potentials (GWPs) from the IPCC Fourth Assessment Report â€¢ Good Practice Guidance and Uncertainty Management in National Greenhouse Gas Inventories â€¢ Good Practice Guidance for Land Use, Land-Use Change and Forestry The Ontario Ministry of Environment and Climate Change collects data through the Ontario Greenhouse Gas Emissions Reporting Regulation (O. Reg. 452/09). The regulation requires annual reporting of greenhouse gas data by industrial facilities that emit 10,000 tonnes of carbon dioxide equivalent or more per year.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),170155299,"(43.659, -79.383184)",42
Attica,Greece,Europe,Public,2017,3828434,2011,2008,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The level of administrative division of the Country into Regions, which has been the reference framework for the development of indicators, is the 13 Regions, as they are also referred to as NUTS 2. Each interregional indicator (1) has been compiled for each key sector of the economy as they refer to the relevant statistical classifications. The statistics on the basis of which the interregional indicators have been compiled contain the key elements that reflect the inter-regional capacity of the individual sector of the economy, which contributes to the maximum extent of the emission of each gas. The regional distribution of gaseous emissions was based on the above interregional indicators as well as on the total emissions of CO2 emissions of the country (CH4, N2O). The above emission figures for the main categories of the economy (Energy, Mining, Services, Agriculture, Transport, Households) are available in the NAMEA table, which were derived from the annual report entitled ""ANNUAL INVENTORY SUBMISSION OF GREECE UNTER THE CONVENTION AND KYOTO PROTOCOL FOR GREENHOUSE AND OTHER GASES FOR YEARS 1990-2014 "", which is compiled by the National Technical University of Athens - Department of Chemical Engineering on behalf of RIS. This work is a first step in the direction of the assessment of gaseous emissions at regional level, following collaboration with the School of Chemical Engineering / Division of Analysis, Design and Development of Processes and Systems of the National Technical University of Athens. In particular. Â The distribution of the Regional Emissions of GHGs from point and surface sources was as follows: A) Regional Distribution of Carbon Dioxide (CO2) Â Carbon dioxide (CO2) has as its main anthropogenic cause the consumption and use of carbon-containing fuels for the production of all kinds of energy. 1) For the distribution of CO2 from the Mining and Manufacturing Sector (Electricity Production), the indicator based on the use of the installed capacity of the thermal power plants in each Region was used and its index Added value of the Department of Mining and Processing by Region. 2) For the regional distribution of CO2 emissions from the households sector, a corresponding indicator was used which was the main element of the number of households per Region. 3) For the regional distribution of CO2 emissions from the transport sector, a corresponding index was used based on the added value of the Transport Sector in each Region. 4) Regional allocation of CO2 emissions from the Services sector used a corresponding index based on the added value of the Service Sector in each Region. 5) For the regional distribution of CO2 emissions from the Georgia sector, a corresponding indicator was used based on the added value of the Georgia Sector in each Region. B) Regional Distribution of Methane (CH4) Most of the CH4 emissions are from the agriculture sector, mainly from Livestock, as well as from the Water Supply and Sewerage sector, where the Sub-sector of Waste Management also belongs. CH4 is the second ranking in terms of dynamic impact on temperature rise. Its impact, expressed in CO2 equivalent, is 25% of CO2.Â Â Â Â  1) For the regional distribution of CH4 emissions from the agriculture sector (Livestock), a corresponding interregional indicator was used, which as the basic parameter had the number of animals and animal species per Region. 2) For the regional distribution of CH4 emissions from the Water Supply and Sewerage sector where it belongs and the Sub-sector of Waste Management was used as an indicator for the determination of the emitted gas per Region, the respective population per Region. It should be noted that estimates of the quantities of waste produced per Region publishing RIS were not considered as an optimal interregional indicator due to their significant annual variability. 3) For the regional allocation of CH4 emissions from the Services sector, the added value of the Services sector was used as an indicator for the determination of the emitted gas per Region. 4) For the regional distribution of CH4 emissions from the household sector, the number of households per region was used as the indicator of the emitted gas per Region. C) Regional Distribution of Nitrogen Oxide (N2O) Nitrogen Oxide (N2O) is the third in the ranking range in terms of the global warming potential expressed in CO2 equivalent. Its effects on climate change are about 298 times stronger than those of Carbon Dioxide (CO2). The main sources of Nitrogen Oxide (N2O) emissions are the agriculture sector from the use of nitrate fertilizers in the Mining and Processing sector as well as the Trade and Services sector. 1) Regional allocation of N2O emissions in the agricultural sector was used for the Agricultural Sector Value Added by Region Region. 2) For the regional distribution of N2O emissions in the mining and quarrying sector the Value Added Value Index of the Mining and Processing Sector per Region was used. 3) The regional distribution of N2O emissions in the trade and services sector used the index of the added value of the sector by region. 4) For the regional distribution of N2O emissions in the Households sector, the Households by Region Index was used. Remarks: For the estimation of gaseous emissions at regional level, the following assumptions were made: A) In the Transport sector, spatial assessment was made taking into account the number of vehicles circulating in each Region and not the corresponding fuel consumption. It has also been assumed that vehicles are circulating within the Region where the relevant marketing authorization has been issued. No account has been taken of the breakdown by sea and air transport. B) In terms of CO2 emissions from the households sector for the relevant estimates, the quantities of fuel consumed by households by region were not taken into account. It is also noted that: 1) The regional value added data comes from the Regional Accounts drawn up by ELSTAT.  2) The total number of households per region comes from the Family Budget Survey carried out by ELSTAT. ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,24180905,"(38.0496, 23.8585)",
Emilia-Romagna,Italy,Europe,Public,2016 and 2017,4457115,2015,2010,Geopolitical Boundary,No,Other,"Other: Corinair/IPCC. The emission estimation has been prepared according to the categories provided by the CORINAIR methodology using the emission factors IPCC . It wasn't rated emissions from the consumption of electricity but were estimated emissions from the production of electricity in the region. The basic data of energy consumption for the tertiary sector, transport and industry were gathered in detail from the regional BPR. Emissions of installations under the ETS are estimated on the basis of data of energy consumption authorized.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,45528000,"(44.5998, 11.2186)",
Central Denmark Region,Denmark,Europe,Public,2016 and 2017,1304253,2016,2015,Geopolitical Boundary,No,Other,"Other: Guidelines set up by the national Danish Energy Agency. The methodology in explanied in the guidelines from the national Danish Energy Agency: ""Strategisk EnergiplanlÃ¦gning i kommunerne, kortlÃ¦gning & nøgletal, vejledning i kortlÃ¦gningsmetoder og datafangst, april 2012"" and ""Revideret regnskabsmetode til strategisk energiplanlÃ¦gning, 17. marts 2015"".",CO2 (Carbon dioxide),,,,,,,7542000,"(56.3093, 9.3028)",
Yucatan,Mexico,Latin America,Public,2016 and 2017,2097175,2015,2005,Geopolitical Boundary,Yes,1996 IPCC Guidelines for National Greenhouse Gas Inventories,"By national disposition in Mexico the methodology used to calculate GHG emissions are the 1996 IPCC Guidelines for Greenhouse Gas Inventories and the 2000 IPCC ""Good Practice Guidance and Uncertainty Management in National Greenhouse gas"" Data compilation for calculation of GHG emissions is achieved by consulting different sources of information from Federal and State government. Primary sources of information come from the Cells of annual operation (COA in Spanish) instruments of report of GHG emissions and other contaminants coordinated by a federal Institution, the Ministry of Environment and Natural Resources (SEMARNAT in Spanish). The Cells of annual operation have a legal support on national environmental laws such as ""Ley General de Equilibrio Ecológico y Protección al Ambiente"". Any establishment from the industry, commerce or service sector within federal jurisdiction that generates contaminants from their production processes have the obligation to report trough this instrument. At State level, the Cells of Annual Operation also provide valuable information from local industry, service and commerce sectors. In Yucatan the Ministry of Urban Development and Environment is in charge to regulate these instruments of report. Another primary source of information for calculation of GHG emissions comes from the National Institute of Statistics and Geography (INEGI), this federal entity provides accurate and reliable information regarding land use, vegetation cover, agriculture and livestock, solid waste management among others. Secondary sources of information come from state government entities such as the State Ministry of Health (SSY in Spanish) and the Yucatan Board of Water Supply (JAPAY in Spanish), information from non profit organizations such as Ecology of the Mayab ( Ecología del Mayab in Spanish) and private companies. Finally in regards to the account of emissions from electricity imported into Yucatan, there are non, Yucatan has a surplus in energy production due to the presence of the mayor Energy Plants in Yucatan Peninsula",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),,,,10130190,"(20.7099, -89.0943)",
Minas Gerais,Brazil,Latin America,Public,2016 and 2017,20734097,2014,2013,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The Energy sector emissions were calculated using Tier 1 (IPCC, 2006) (Guidelines for National Greenhouse Gas Inventories), with the same methodology as the previous estimatives. Activity data (energy consumption and fuel) were obtained from the 29th Energy Balance of Minas Gerais - BEEMG. Fugitive emissions and the bunker were not included as they do not account for the total emissions. The default emission factors suggested by the IPCC or factors specific to the national or state level. For the Industrial Processes sector, emissions were calculated using the Tier 1 (IPCC, 2006) except for the Iron and Steel sub-sector which emissons were obtained from System Study Greenhouse Gas Emissions Estimates (SEEG). Annual production data were obtained from associations of specific industrial subsectors. The emission factors used were the default values suggested by the methodology. Agriculture emissions were calculated using Tier 1 (IPCC, 1996) with some adaptations taking as reference values of the 3nd National GHG Inventory. Activity data (number of animals, fertilizers etc.) were obtained from information available in the IBGE or associations and industry associations. Land use, land use change and Forest (LULUCF) reported here are the same ones reported by the System Study Greenhouse Gas Emissions Estimates (SEEG) (http://seeg.eco.br/), which is a Climate Observatory initiative committed to estimate GHG emission at a national and regional level. The methodology used were consistent with those presented in the IPCC Good Practice Guidance (2003) that require spatially explicit observations of land use and change of land use in the territory. Emissions from waste treatment sector were calculated using Tier 1 (IPCC, 1996; IPCC, 2006). The estimates were calculated based on population data, waste generation rate / wastewater and types of treatment or final disposal. Finally, in order to convert gas emission into CO2e values the following GWP were used: CH4: 21 N2O: 310 CF4:6500 C2F6:9200",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,PFCs (Perfluorocarbons),,,137407705,"(-18.5904, -44.555)",204
Carinthia,Austria,Europe,Public,2016 and 2017,558612,2016,2015,Geopolitical Boundary,No,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"Emissions are calculated by Umweltbundesamt GmbH, the official accounting body of Austria, and are conform with the national emissions reported every year to the EU.",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),3910328,"(46.7298, 14.1806)",43
Bavaria,Germany,Europe,Public,2016 and 2017,12843514,2015,2013,Geopolitical Boundary,No,Other,Other: Based on the energy balances in accordance with the methodology of the German Länder Working Group Energy Balances. Balance sheet is done according to the agreement of the German Länder Working Group on Energy Balances based on the CO2 factors used by the Federal Environment Agency.,CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),,,,,92403000,"(48.7998, 11.4979)",43
Catalonia,Spain,Europe,Public,2016 and 2017,7522596,2016,2015,Geopolitical Boundary,Yes,2006 IPCC Guidelines for National Greenhouse Gas Inventories,"The Catalan inventory is part of the Spanish one. The Spanish inventory is first built according the 2006 IPCC guidelines, and afterwards these data are split among the different Spanish regions (what we call regionalization). Whenever is possible we try to allocate directly the source of the GHG emission to the region, but when this is not possible some kind of weighting factor is used (population or GAV, for example)",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),,43532144,"(41.3892, 2.173403)",
Oregon,USA,North America,Public,2016 and 2017,4029000,2015,2013,"Other: Emissions within Oregon's boundary, with a correction for electricity consumption. This correction removes in-boundary emissions associated with electricity generation that is exported, and adds the emissions associated with electricity imported for use in Oregon. ",No,Other,"Other: The inventory relies on a hybrid of data reported to Oregon Department of Environmental Quality (from fuel suppliers, electric utilities, natural gas suppliers, and large industrial emitters), and EPA's State inventory tool (SIT). The inventory relies on a hybrid of data reported to Oregon Department of Environmental Quality (from fuel suppliers, electric utilities, natural gas suppliers, and large industrial emitters), and EPA's State Inventory Tool (SIT). ",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),60099418,"(43.80953, -120.5542)",37
Nouvelle-Aquitaine,France,Europe,Public,2016 and 2017,5867000,2014,2015,Geopolitical Boundary,No,Other,"Other: see section 3.4. Emissions from the ""energy industries"" sector have been allocated to sectors consuming these energies. The emission factors used for energy consumption include the upstream emissions of the energy chain. Thus, the electricity consumed in New Aquitaine takes into account the GHG emissions required for its production. Similarly, hydrocarbons include emissions related to their extraction and refining. In order to maintain the summative nature of the method, the energy industries in the region are therefore no longer taken into account in a specific sector. Furthermore, combustion of biomass is considered to be climate neutral (short cycle of carbon)",CO2 (Carbon dioxide),CH4 (Methane),N2O (Nitrous oxide),HFCs (Hydrofluorocarbons),PFCs (Perfluorocarbons),SF6 (Sulfur hexfluoride),NF3 (Nitrogen triflouride),51684000,"(45.7097, 0.6269)",48
