Year,Fossil-Fuel-Industry,Land-Use-Change,Atmospheric-Growth,Ocean-Sink
1960,2.568,1.673,1.310,0.885
1961,2.580,1.608,1.434,0.916
1962,2.685,1.567,1.550,0.943
1963,2.833,1.514,1.658,0.960
1964,2.994,1.464,1.762,0.957
1965,3.129,1.418,1.861,0.977
1966,3.288,1.376,1.956,1.043
1967,3.393,1.355,2.049,1.090
1968,3.565,1.354,2.138,1.115
1969,3.779,1.363,2.225,1.179
1970,4.052,1.322,2.310,1.239
1971,4.206,1.285,2.392,1.249
1972,4.373,1.247,2.473,1.274
1973,4.611,1.219,2.551,1.369
1974,4.619,1.179,2.627,1.407
1975,4.592,1.148,2.700,1.396
1976,4.858,1.130,2.770,1.426
1977,5.010,1.106,2.837,1.488
1978,5.066,1.069,2.899,1.565
1979,5.348,1.043,2.955,1.607
1980,5.292,1.086,3.004,1.658
1981,5.127,1.096,3.046,1.697
1982,5.083,1.108,3.084,1.712
1983,5.063,1.150,3.118,1.756
1984,5.245,1.186,3.148,1.810
1985,5.402,1.204,3.174,1.844
1986,5.567,1.242,3.197,1.868
1987,5.708,1.279,3.216,1.905
1988,5.917,1.297,3.231,1.990
1989,6.046,1.323,3.243,2.030
1990,6.054,1.322,3.252,2.011
1991,6.122,1.333,3.261,2.010
1992,6.058,1.348,3.273,1.994
1993,6.046,1.349,3.290,1.967
1994,6.150,1.345,3.311,1.998
1995,6.279,1.331,3.335,2.079
1996,6.420,1.306,3.361,2.127
1997,6.527,1.780,3.388,2.142
1998,6.546,1.228,3.412,2.207
1999,6.531,1.202,3.433,2.281
2000,6.703,1.316,3.449,2.270
2001,6.861,1.178,3.461,2.274
2002,6.958,1.338,3.469,2.330
2003,7.333,1.387,3.474,2.411
2004,7.693,1.336,3.476,2.457
2005,7.984,1.214,,2.486
2006,8.266,1.254,,2.539
2007,8.428,1.073,,2.555
2008,8.700,1.128,,2.564
2009,8.603,1.573,,2.594
2010,9.025,1.419,,2.648
2011,9.377,1.355,,
2012,9.530,1.599,,
2013,9.609,1.542,,
2014,9.690,1.602,,
2015,9.679,1.623,,
2016,9.737,1.300,,
2017,9.867,1.388,,
